aconto	adresse	boligtype	delevenlig	depositum	etage	forudbetalt_leje	husdyr_tilladt	indflytningspris	lejeperiode	mŒnedlig_leje	m¿bleret	oprettelsesdato	overtagelsesdato	st¿rrelse	v¾relser	longitude	latitude
0	Ulsh¿jsvej, 9210 Aalborg S¯	V¾relse	Nej	8400	-	0	Nej	11200	Ubegr¾nset	2800	Nej	23/10/2018	snarest	15	1		
200	Brass¿vej, 8240 Risskov 	Lejlighed	Ja	27975	2. sal	9325	Nej	46825	Ubegr¾nset	9325	Nej	12/06/2018	snarest	75	3	10,2353323	56,203707
800	N¿rregade, 7500 Holstebro 	Lejlighed	Nej	15900	2. sal	0	Nej	22000	Ubegr¾nset	5300	Nej	27/10/2018	snarest	78	2	8,6180603	56,3604745
	Cortex Park, 5230 Odense M 	Lejlighed	Ja	24690	3. sal		Nej	32920	Ubegr¾nset	8230	Nej	24/08/2018	snarest	79	3	10,4307407	55,3740591
800	Strandvejen, 9000 Aalborg 	Lejlighed	Nej	22800	3. sal	7600	Nej	38800	Ubegr¾nset	7600	Nej	29/10/2018	snarest	73	2	9,9210993	57,0510744
	Bjergager, 5854 Gislev	Lejlighed	Nej	20220	-	6740	Ja	33700	Ubegr¾nset	6740	Nej	02/07/2018	snarest	85	4	10,5939144	55,2091502
650	Vesterbro, 9000 Aalborg 	Lejlighed	Ja	16350	4. sal	5450	Nej	27900	Ubegr¾nset	5450	Nej	16/10/2018	snarest	70	2	9,9133799	57,0462433
1200	Ny Adelgade, 1104 K¿benhavn K	Lejlighed	Nej	44563	-	44563	Nej	105181	Ubegr¾nset	14855	Nej	17/10/2018	snarest	115	3	12,5832725	55,6814389
2000	Stevnsvej, 4600 K¿ge	Villa	Ja	49500	-	16500	Nej	84500	Ubegr¾nset	16500	Nej	22/10/2018	snarest	170	6	12,2233297	55,4203805
250	Brass¿vej, 8240 Risskov 	Lejlighed	Ja	34344	3. sal	11448	Nej	57490	Ubegr¾nset	11448	Nej	12/06/2018	snarest	90	4	10,2353323	56,203707
600	Nyborgvej, 5220 Odense S¯ 	Lejlighed	Nej	28350	4. sal	9450	Nej	47850	Ubegr¾nset	9450	Nej	24/10/2018	snarest	98	3		
200	Brass¿vej, 8240 Risskov 	Lejlighed	Ja	27885	1. sal	9295	Nej	46675	Ubegr¾nset	9295	Nej	05/09/2018	snarest	72	3	10,2353323	56,203707
850	N¿rregade, 9640 Fars¿ 	Lejlighed	Nej	10800	1. sal	0	Ja	15250	Ubegr¾nset	3600	Nej	29/10/2018	snarest	70	2	9,3408033	56,7770133
200	Brass¿vej, 8240 Risskov 	Lejlighed	Ja	33894	4. sal	11298	Nej	56690	Ubegr¾nset	11298	Nej	12/06/2018	snarest	82	4	10,2353323	56,203707
500	Gr¿nningen, 6000 Kolding 	Lejlighed	Nej	8940	stuen	2980	Nej	15400	Ubegr¾nset	2980	Nej	30/10/2018	snarest	30	1	9,4805706	55,4946225
200	Brass¿vej, 8240 Risskov 	Lejlighed	Ja	28725	3. sal	9575	Nej	48075	Ubegr¾nset	9575	Nej	12/06/2018	snarest	86	3	10,2353323	56,203707
600	Langelinie , 7100 Vejle 	Lejlighed	Ja	25500	2. sal	0	Nej	34600	Ubegr¾nset	8500	Nej	01/10/2018	snarest	95	3	9,5449102	55,7122404
0	Nymarks All, 8320 MŒrslet 	Lejlighed	Nej	27735	stuen	9245	Nej	46225	Ubegr¾nset	9245	Nej	16/04/2018	snarest	96	4	10,1581716	56,0597403
950	Jernbanegade, 6000 Kolding 	Lejlighed	Nej	25180	3. sal	6610	Ja	34000	Ubegr¾nset	6610	Nej	30/10/2018	ikke snarest	100	3	9,4795894	55,4903856
550	L¾s¿gade, 9000 Aalborg 	Lejlighed	Ja	16350	4. sal	6000	Nej	28350	Ubegr¾nset	5450	Nej	23/10/2018	ikke snarest	69	2	9,9410271	57,0406826
1000	Vinkelvej, 3480 Fredensborg	Villa	Nej	39000	-	0	Nej	53000	Ubegr¾nset	13000	Nej	24/09/2018	snarest	118	4	12,4072541	55,9743221
800	Vester All, 8000 Aarhus C 	Lejlighed	Ja	32700	4. sal	32700	Nej	77100	Ubegr¾nset	10900	Nej	29/10/2018	ikke snarest	89	3	10,1992614	56,1563661
1400	Sct. Ibs Gade, 8800 Viborg 	Lejlighed	Ja	23985	stuen	0	Nej	33380	Ubegr¾nset	7995	Nej	13/10/2018	snarest	126	5		
780	¯sterbro, 9000 Aalborg 	Lejlighed	Nej	23250	1. sal	7750	Nej	39530	Ubegr¾nset	7750	Nej	29/10/2018	snarest	104	3	9,9420315	57,0456906
200	Brass¿vej, 8240 Risskov 	Lejlighed	Ja	33894	3. sal	11298	Nej	56690	Ubegr¾nset	11298	Nej	12/06/2018	snarest	82	4	10,2353323	56,203707
1550	Hospitalsvej, 2000 Frederiksberg 	Lejlighed	Nej	53850	5. sal	17950	Nej	91300	Ubegr¾nset	17950	Nej	18/06/2018	ikke snarest	108	3	12,5294546	55,679218
	R¿dlundvej, 8462 Harlev J	Lejlighed	Nej	27165	-	9055	Ja	45275	Ubegr¾nset	9055	Nej	16/07/2018	ikke snarest	90	4	9,9896126	56,1430976
800	Smedegade, 8600 Silkeborg 	Lejlighed	Nej	20400	1. sal	13600	Nej	41600	Ubegr¾nset	6800	Nej	29/10/2018	ikke snarest	82	3	9,6965134	56,1904801
800	Skejbytoften, 8200 Aarhus N 	Lejlighed	Nej	22437	3. sal	7479	Nej	38195	Ubegr¾nset	7479	Nej	29/10/2018	ikke snarest	60	2	10,1914481	56,1996823
350	Jernbanegade, 9000 Aalborg 	Lejlighed	Ja	17100	3. sal	5700	Nej	28850	Ubegr¾nset	5700	Nej	29/10/2018	snarest	58	2	9,916021	57,0466653
1050	N¿rregade, 9640 Fars¿ 	Lejlighed	Nej	15600	stuen	0	Ja	21850	Ubegr¾nset	5200	Nej	29/10/2018	snarest	117	4	9,3408033	56,7770133
700	Robert Jacobsens Vej, 2300 K¿benhavn S 	Lejlighed	Ja	44190	8. sal	14730	Nej	74350	Ubegr¾nset	14730	Nej	12/10/2018	snarest	79	4	12,5745679	55,6230139
750	Randersvej , 9500 Hobro 	Lejlighed	Nej	5000	stuen	0	Nej	8250	Ubegr¾nset	2500	Nej	30/10/2018	snarest	30	1	9,8038765	56,6266129
700	Robert Jacobsens Vej, 2300 K¿benhavn S 	Lejlighed	Ja	48660	8. sal	16220	Nej	81800	Ubegr¾nset	16220	Nej	27/10/2018	snarest	98	4	12,5745679	55,6230139
900	Kronprinsensgade, 6700 Esbjerg 	Lejlighed	Nej	28650	3. sal	0	Ja	39100	Ubegr¾nset	9550	Nej	22/10/2018	snarest	140	5	8,4455196	55,4667401
0	Hammerum Hovedgade, 7400 Herning 	Lejlighed	Ja	22305	2. sal	0	Nej	29740	Ubegr¾nset	7435	Nej	30/09/2018	snarest	106	4	9,0727535	56,1331799
850	Fyensgade, 9000 Aalborg 	Lejlighed	Nej	23250	2. sal	7750	Nej	39600	Ubegr¾nset	7750	Nej	29/10/2018	ikke snarest	97	3	9,9379923	57,042563
	James Tobins All, 9220 Aalborg ¯st 	Lejlighed	Ja	27450	2. sal	9150	Nej	45750	Ubegr¾nset	9150	Nej	02/08/2018	snarest	98	4		
